id,heure,commune,sex,categorie
214,14:02,Yopougon,Non précisé,Non précisé
215,12:53,Yopougon,Non précisé,Non précisé
216,10:10,Yopougon,Femme,Adulte
217,22:50,Yopougon,Non précisé,Non précisé
218,12:49,Yopougon,Homme,Adulte
219,15:32,Yopougon,Non précisé,Non précisé
220,19:49,Yopougon,Femme,Enfant
221,7:38,Yopougon,Multiple,Non précisé
222,14:20,Yopougon,Non précisé,Non précisé
223,14:34,Yopougon,Non précisé,Non précisé
224,12:46,Yopougon,Homme,Adulte
225,12:37,Yopougon,Multiple,Non précisé
226,4:53,Yopougon,Non précisé,Non précisé
227,18:38,Yopougon,Non précisé,Non précisé
228,9:40,Yopougon,Non précisé,Non précisé
229,11:50,Yopougon,Homme,Adulte
230,16:11,Yopougon,Non précisé,Adolescent
231,16:21,Yopougon,Non précisé,Non précisé
232,16:17,Yopougon,Non précisé,Non précisé
233,13:07,Yopougon,Non précisé,Non précisé
234,16:40,Yopougon,Non précisé,Non précisé
235,10:06,Yopougon,Femme,Adulte
236,16:07,Abobo,Non précisé,Adolescent
237,15:10,Yopougon,Non précisé,Non précisé
238,2:17,Yopougon,Homme,Adulte
239,9:41,Yopougon,Homme,Adulte
240,22:38,Yopougon,Non précisé,Non précisé
241,1:16,Yopougon,Non précisé,Non précisé
242,14:52,Yopougon,Non précisé,Non précisé
243,Non précisée,Abobo,Femme,Adulte
244,Non précisée,Yopougon,Femme,Adulte
245,Non précisée,Yopougon,Non précisé,Adolescent
246,Non précisée,Yopougon,Femme,Adolescent
247,Non précisée,Yopougon,Multiple,Adolescent
248,Non précisée,Yopougon,Femme,Adulte
249,11:58,Koumassi,Homme,Enfant
250,13:51,Koumassi,Non précisé,Non précisé
251,16:11,Abobo,Homme,Adulte
252,9:42,Yopougon,Homme,Adulte
253,13:21,Abobo,Homme,Adulte
254,14:47,Koumassi,Non précisé,Non précisé
255,7:42,Koumassi,Non précisé,Non précisé
256,23:31,Koumassi,Multiple,Adolescent
257,18:12,Koumassi,Non précisé,Non précisé
258,14:12,Koumassi,Non précisé,Non précisé
259,11:40,Koumassi,Non précisé,Adolescent
260,18:29,Koumassi,Femme,Enfant
261,14:07,Koumassi,Femme,Adulte
262,8:13,Abobo,Non précisé,Non précisé
263,17:25,Koumassi,Femme,Adulte
264,11:02,Koumassi,Multiple,Enfant
265,11:43,Koumassi,Non précisé,Adolescent
266,12:23,Koumassi,Non précisé,Enfant
267,14:01,Koumassi,Multiple,Non précisé
268,18:06,Koumassi,Non précisé,Non précisé
269,13:54,Treichville,Multiple,Adolescent
270,18:06,Koumassi,Femme,Adulte
271,9:49,Abobo,Non précisé,Non précisé
272,17:48,Koumassi,Non précisé,Non précisé
273,20:26,Koumassi,Homme,Enfant
274,16:40,Koumassi,Multiple,Non précisé
275,11:10,Yopougon,Non précisé,Non précisé
276,12:43,Koumassi,Multiple,Adolescent
277,13:01,Koumassi,Femme,Adulte
278,18:33,Koumassi,Femme,Adulte
279,18:15,Koumassi,Femme,Adolescent
280,11:14,Koumassi,Non précisé,Enfant
281,17:38,Koumassi,Non précisé,Non précisé
282,8:17,Koumassi,Multiple,Non précisé
283,12:07,Koumassi,Multiple,Adolescent
284,14:00,Koumassi,Non précisé,Adolescent
285,16:52,Abobo,Non précisé,Adolescent
286,11:02,Koumassi,Non précisé,Adolescent
287,12:46,Koumassi,Non précisé,Non précisé
288,15:56,Koumassi,Non précisé,Non précisé
289,14:01,Koumassi,Homme,Adulte
290,13:15,Koumassi,Non précisé,Adolescent
291,22:27,Yopougon,Non précisé,Non précisé
292,23:31,Yopougon,Non précisé,Adolescent
293,14:06,Koumassi,Non précisé,Non précisé
294,16:07,Koumassi,Homme,Adolescent
295,18:30,Koumassi,Homme,Adulte
296,8:30,Abobo,Non précisé,Non précisé
297,15:15,Koumassi,Homme,Adulte
298,11:10,Koumassi,Non précisé,Non précisé
299,18:20,Koumassi,Femme,Adulte
300,11:41,Koumassi,Non précisé,Non précisé
301,11:43,Yopougon,Femme,Adulte
302,18:35,Koumassi,Non précisé,Non précisé
303,12:23,Koumassi,Femme,Adolescent
304,Non précisée,Yopougon,Non précisé,Non précisé
305,Non précisée,Abobo,Femme,Enfant
306,Non précisée,Yopougon,Femme,Enfant
307,Non précisée,Abobo,Homme,Enfant
308,Non précisée,Abobo,Non précisé,Adolescent
309,Non précisée,Koumassi,Non précisé,Enfant
310,12:46,Yopougon,Multiple,Non précisé
311,14:09,Cocody,Multiple,Non précisé
312,21:36,Cocody,Non précisé,Enfant
313,8:45,Cocody,Homme,Adolescent
314,19:11,Cocody,Homme,Adulte
315,22:48,Cocody,Multiple,Non précisé
316,9:57,Cocody,Non précisé,Non précisé
317,9:40,Cocody,Homme,Adulte
318,14:02,Cocody,Non précisé,Non précisé
319,18:12,Abobo,Homme,Adulte
320,19:29,Yopougon,Homme,Adulte
321,12:19,Cocody,Femme,Adulte
322,10:01,Cocody,Femme,Adulte
323,16:01,Cocody,Non précisé,Non précisé
324,12:18,Cocody,Non précisé,Non précisé
325,13:27,Cocody,Non précisé,Non précisé
326,13:40,Cocody,Multiple,Non précisé
327,8:55,Cocody,Homme,Adulte
328,23:29,Cocody,Femme,Adulte
329,18:43,Cocody,Multiple,Non précisé
330,19:21,Cocody,Non précisé,Non précisé
331,14:46,Cocody,Homme,Adulte
332,14:25,Cocody,Non précisé,Non précisé
333,6:57,Cocody,Non précisé,Non précisé
334,1:41,Abobo,Femme,Adolescent
335,20:50,Cocody,Non précisé,Non précisé
336,12:56,Cocody,Non précisé,Non précisé
337,16:16,Cocody,Homme,Adolescent
338,19:31,Cocody,Femme,Adulte
339,18:13,Abobo,Homme,Adulte
340,13:46,Cocody,Non précisé,Non précisé
341,14:41,Yopougon,Non précisé,Enfant
342,16:12,Cocody,Homme,Adulte
343,14:57,Cocody,Non précisé,Non précisé
344,17:00,Cocody,Non précisé,Adolescent
345,12:54,Cocody,Non précisé,Adolescent
346,12:37,Cocody,Non précisé,Enfant
347,13:22,Yopougon,Femme,Adolescent
348,12:22,Cocody,Non précisé,Adolescent
349,13:04,Cocody,Homme,Adulte
350,16:58,Cocody,Femme,Adulte
351,15:03,Cocody,Femme,Adulte
352,11:57,Cocody,Femme,Adolescent
353,15:12,Cocody,Femme,Adulte
354,9:08,Cocody,Homme,Adulte
355,11:43,Cocody,Homme,Adolescent
356,11:36,Cocody,Non précisé,Non précisé
357,19:51,Yopougon,Non précisé,Non précisé
358,15:02,Cocody,Femme,Adulte
359,14:04,Cocody,Non précisé,Adolescent
360,15:30,Cocody,Non précisé,Enfant
361,16:56,Cocody,Non précisé,Enfant
362,21:28,Cocody,Non précisé,Non précisé
363,18:00,Cocody,Femme,Adulte
364,12:08,Cocody,Homme,Adolescent
365,16:30,Cocody,Non précisé,Non précisé
366,15:14,Cocody,Femme,Adolescent
367,13:10,Cocody,Femme,Adulte
368,19:36,Treichville,Non précisé,Non précisé
369,11:49,Cocody,Femme,Enfant
370,Non précisée,Cocody,Multiple,Non précisé
371,Non précisée,Cocody,Femme,Adulte
372,Non précisée,Treichville,Femme,Adolescent
373,Non précisée,Yopougon,Multiple,Non précisé
374,Non précisée,Abobo,Femme,Adulte
375,Non précisée,Cocody,Femme,Adolescent
